CodPessoa,theta,enem_score,acertos,total_itens
8732111,0.669,567,36,45
8732117,0.669,567,36,45
8732480,-4.0,100,0,45
8732937,0.432,543,25,45
8732951,0.215,522,26,45
8733171,-1.594,341,9,45
8733269,-0.075,492,18,45
8733403,-1.402,360,9,45
8733440,-0.446,455,24,45
8733643,-0.74,426,18,45
8733901,-1.129,387,14,45
8733993,-4.0,100,0,45
8734017,-0.329,467,25,45
8734032,-0.781,422,16,45
8734227,0.423,542,34,45
8734490,-0.359,464,21,45
8734754,-1.581,342,11,45
8734811,-4.0,100,8,45
8735040,0.416,542,33,45
8735058,-1.073,393,14,45
8735160,-0.078,492,20,45
8735471,-1.251,375,14,45
8735927,-1.333,367,15,45
8735934,0.605,560,33,45
8736093,3.265,826,38,45
8736428,-1.49,351,11,45
8736548,-1.124,388,15,45
8736659,-0.513,449,16,45
8736660,-1.247,375,13,45
8736665,-0.364,464,17,45
8736682,-0.532,447,16,45
8736694,-1.419,358,11,45
8736697,-2.094,291,9,45
8736705,-1.255,374,11,45
8736717,-1.075,392,18,45
8736722,-0.908,409,16,45
8736737,-1.362,364,11,45
8736740,-1.09,391,10,45
8736765,-1.299,370,15,45
8736771,-1.582,342,10,45
8736788,-1.181,382,14,45
8736794,-1.337,366,13,45
8736809,-0.56,444,19,45
8736810,-0.841,416,14,45
8737074,0.328,533,26,45
8737076,0.339,534,34,45
8737084,-0.418,458,23,45
8737098,-0.883,412,13,45
8737099,-0.433,457,18,45
8737109,-4.0,100,0,45
8737112,0.397,540,31,45
8737133,-1.134,387,16,45
8737170,0.448,545,29,45
8737181,-0.519,448,20,45
8737186,-0.372,463,22,45
8737192,-0.954,405,15,45
8737202,-1.54,346,11,45
8737375,-1.35,365,12,45
8737469,-0.968,403,17,45
8737909,-0.823,418,12,45
8737939,-1.431,357,11,45
8738112,-1.334,367,12,45
8738383,-0.347,465,21,45
8738532,-1.186,381,15,45
8738564,-1.026,397,14,45
8738619,-1.571,343,10,45
8738730,-1.201,380,12,45
8738749,-0.8,420,17,45
8738984,-1.242,376,16,45
